name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,ppltrst,pplfair,pplhlp,polintr,trstprl,trstplt,prtclgfr,happy,gndr,agea,eduyrs,hinctnta,prob,stratum,psu
ESS11e04_2,11,4.2,02.07.2026,82965,FR,0.982022225856781,1.866649866104126,3.184376906,5.9441167252099705,5,7,6,Not at all,6,4,66,9,2,60,11,6,1.2434519885573536e-4,665,9354
ESS11e04_2,11,4.2,02.07.2026,82990,FR,1.009801149368286,0.6488261818885803,3.184376906,2.0661071096141503,7,7,7,Not at all,5,99,66,8,2,43,17,7,1.2092453835066408e-4,653,9455
ESS11e04_2,11,4.2,02.07.2026,83021,FR,1.0116831064224243,0.7960036993026733,3.184376906,2.534775797150001,5,9,5,4,5,2,66,7,999,83,12,6,1.206996021210216e-4,651,9459
ESS11e04_2,11,4.2,02.07.2026,83081,FR,0.9936723709106444,1.7115031480789185,3.184376906,5.450071099288806,5,4,3,2,4,5,66,6,2,26,18,88,1.2288732978049666e-4,642,9578
ESS11e04_2,11,4.2,02.07.2026,83106,FR,1.0051031112670898,0.755746603012085,3.184376906,2.406582029419633,5,8,8,2,2,88,1,9,1,55,11,4,1.2148975656600668e-4,656,9419
ESS11e04_2,11,4.2,02.07.2026,83122,FR,0.990207850933075,1.810762643814087,3.184376906,5.766150745209082,4,5,1,2,3,4,66,7,1,16,11,10,1.233172952197492e-4,642,9573
ESS11e04_2,11,4.2,02.07.2026,83133,FR,0.989611029624939,1.1670557260513306,3.184376906,3.71634530205292,1,5,1,2,5,0,66,7,2,45,9,4,1.2339165550656617e-4,647,9536
ESS11e04_2,11,4.2,02.07.2026,83135,FR,0.997926652431488,0.7348060011863708,3.184376906,2.339899260568088,7,6,5,2,6,6,66,7,2,47,150,6,1.2236344628036022e-4,648,9480
ESS11e04_2,11,4.2,02.07.2026,83174,FR,1.0121499300003052,0.7863848805427551,3.184376906,2.504145852827918,4,7,4,3,5,4,66,9,2,50,16,9,1.2064393376931548e-4,656,9397
ESS11e04_2,11,4.2,02.07.2026,83180,FR,0.9950170516967772,1.0052088499069214,3.184376906,3.2009638473504203,4,6,6,3,6,1,66,9,2,42,14,7,1.227212633239105e-4,642,9590
ESS11e04_2,11,4.2,02.07.2026,83182,FR,1.011772871017456,1.0295594930648804,3.184376906,3.278505473068872,4,4,5,3,6,4,66,5,2,65,13,1,1.2068889191141352e-4,642,9577
ESS11e04_2,11,4.2,02.07.2026,83255,FR,1.0116831064224243,0.7960036993026733,3.184376906,2.534775797150001,6,9,7,3,8,8,66,9,2,84,8,2,1.206996021210216e-4,651,9459
ESS11e04_2,11,4.2,02.07.2026,83265,FR,0.98800528049469,1.0080804824829102,3.184376906,3.2101082078079166,5,5,3,1,4,2,66,8,1,-5,13,2,1.235921954503283e-4,644,9473
ESS11e04_2,11,4.2,02.07.2026,83279,FR,1.0119712352752686,1.2119979858398438,3.184376906,3.859458396226913,5,8,10,Not at all,4,5,66,9,1,78,5,5,1.2066524504916742e-4,662,9402
ESS11e04_2,11,4.2,02.07.2026,83280,FR,0.9937255382537842,1.1612732410430908,3.184376906,3.6979316903333896,2,3,2,3,5,3,9,6,2,75,9,77,1.2288075231481344e-4,648,9474
ESS11e04_2,11,4.2,02.07.2026,83297,FR,0.9901106953620912,0.8859626650810242,3.184376906,2.8212390502622258,4,5,5,1,7,99,9,8,1,70,10,5,1.23329387861304e-4,660,9501
ESS11e04_2,11,4.2,02.07.2026,83312,FR,1.0043915510177612,0.8549820184707642,3.184376906,2.7225849946635665,7,8,2,4,2,3,66,8,2,56,15,8,1.215758384205401e-4,660,9552
